property_id	property_label	description
P11117	Viveport ID	identifier of a video game, application, or experience available on Viveport
P11118	Larousse Online French Dictionary ID	identifier for a Lexeme in online Larousse French dictionary
P11119	RaiPlay ID	identifier for a film, television program or series on RaiPlay.it
P11120	Rai Teche person ID	identifier for a person on Rai Teche's official website
P11121	Rai Teche program ID	identifier for a television program on Rai Teche's official website
P11122	HomeComputer Museum ID	identifier in the database of computing platforms homecomputer.de
P11123	Förvaltningshistorisk Ordbok ID	identifier for article in the dictionary of terms pertaining to public administration in Finland
P11124	Basic Korean Dictionary ID	identifier for a lexeme in the Basic Korean Dictionary published by the National Institute of Korean Language
P11125	Standard Korean Language Dictionary ID	identifier for a lexeme in the online Standard Korean Language Dictionary published by the National Institute of Korean Language
P11126	Rowing Australia ID	identifier for an athlete at Rowing Australia
P11127	MEXT school code	identifier for schools in Japan
P11128	SA Parliament member ID	identifier for an entry in the biographical register for former members of the Parliament of South Australia
P11129	C64-Wiki ID	identifier for an item in the C64-Wiki
P11130	Merriam-Webster online dictionary entry	identifier for an entry for a word in the Merriam-Webster online dictionary
P11131	Undiscovered Scotland ID	identifier for a page on the Undiscovered Scotland website
P11132	Mod DB engine ID	identifier of a game engine on moddb.com
P11133	Nouvelle-Aquitaine Inventory ID	Gertrude identifier for a cultural property in the Nouvelle-Aquitaine region
P11134	CCB ID	identifier of a calvary or monumental cross in CCB database
P11135	Project Identification Code (Dams)	unique codes given to large dams in National Register of India
P11136	shortened URL formatter	URI template from which "$1" can be automatically replaced with the ID of a URL shortened by the service
P11137	Reddit topic ID	identifier of a topic on Reddit
P11138	Sõnaveeb lexeme ID	identifier for a lexeme in the unified dictionary hosted by the Institute of the Estonian Language
P11139	Ma Dada organisation ID	identifier for a French public organisation in the MaDada database
P11140	embargoed until	qualifier of property P953 (full work available at URL) to indicate the date after which the full work can be viewed or downloaded; typically used on items for academic journal articles and academic theses
P11141	Asian Tour player ID	identifier for a person in the Asian Tour golf tournament
P11143	WikiProjectMed ID	identifier of a topic in WikiProjectMed
P11144	Chrome Platform Status feature ID	identifier for a feature on Chrome Platform Status
P11145	Language of Bindings ID	identifier for a term in the Language of Bindings thesaurus
P11146	collection items at	institution (museum, collection, etc.) holding items (specimens or other objects) collected by the subject (collector) or at the subject (e.g. site). (use archive location P485 for the archives)
P11147	Microsoft Edge Platform Status feature ID	identifier for a feature on Microsoft Edge Platform Status feature ID
P11148	AUTC herritage object ID	building in the Architecture and Urbanism Research Centre database
P11149	MangaUpdates manga ID	ID of a title (work) on the MangaUpdates website
P11150	Ministry of Unification politician ID	identifier for people in the Ministry of Unification's database of North Korean politicans
P11151	Universal Content Identifier	South Korean national digital content identifier
P11152	Léonore Web ID	identifier of a person on the Léonore database website
P11153	BritBox ID (UK version)	identifier for programs and series on the BritBox video on demand streaming service in the UK
P11154	OMED ID	identifier for an authority in the catalogue of the library of the Organization for Mediation & Arbitration (Athens)
P11155	Municipal Library of Trikala ID	identifier for an authority in the catalogue of the Municipal Library of Trikala
P11156	MMB ID	identifier for an authority in the catalogue of the Lilian Voudouri Music Library of Greece
P11157	HiSCoD ID	identifier for a riot or other event in the Historical Social Conflict Database
P11158	Dimitri and Aliki Perrotis Central Library ID	identifier for an authority in the catalogue of the Dimitris and Aliki Perrotis Central Library
P11159	ILAMDIR ID	identifier for Latin American cultural heritage in the ILAMDIR database maintained by the ILAM Foundation
P11160	Cannabis Database ID	identifier for a chemical compound in the Cannabis Database
